Order_id,order_date,order_time,location,channel,customer_id,customer_type,product_category,product,quantity,unit_price,discount,revenue,food_cost,gross_profit,payment_method,table_number,table_size,booking,server_id,wait_time_minute,customer_rating,weather,day_of_week,month
O0100012-3,2025-05-01,20:30:00,Norwich Riverside,Dine-in,C18606,New,tapas,Spanish Omelette,2,7.0,0.05,13.3,3.36,9.94,Card,16.0,4.0,No,S005,14,4.6,Rain,Thursday,May
O0100013,2025-05-01,21:05:00,Norwich Riverside,Dine-in,C12082,New,desserts,Basque Cheesecake,1,7.0,0.0,7.0,1.75,5.25,Card,16.0,2.0,Yes,S002,23,3.8,Rain,Thursday,May
O0100013-2,2025-05-01,21:05:00,Norwich Riverside,Dine-in,C12082,New,desserts,Crema Catalana,2,6.5,0.05,12.35,2.86,9.49,Online,17.0,4.0,Yes,S003,25,4.6,Rain,Thursday,May
O0100013-3,2025-05-01,21:05:00,Norwich Riverside,Dine-in,C12082,New,drinks,House Sangria,2,8.0,0.0,16.0,3.2,12.8,Card,15.0,4.0,Yes,S004,25,3.6,Rain,Thursday,May
O0100013-4,2025-05-01,21:05:00,Norwich Riverside,Dine-in,C12082,New,tapas,Croquetas,1,8.5,0.1,7.65,2.38,5.27,Card,14.0,4.0,Yes,S005,5,4.5,Rain,Thursday,May
O0100014,2025-05-29,21:01:00,Norwich City Centre,Delivery,C16656,Returning,drinks,Coffee,1,3.0,0.0,3.0,0.45,2.55,Online,,,No,S001,14,4.7,Rain,Thursday,May
O0100015,2025-05-01,12:09:00,Norwich Riverside,Dine-in,C10516,Returning,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Online,26.0,4.0,No,S003,19,4.8,Rain,Thursday,May
O0100015-2,2025-05-01,12:09:00,Norwich Riverside,Dine-in,C10516,Returning,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Contactless,21.0,4.0,No,S004,12,4.2,Rain,Thursday,May
O0100015-3,2025-05-01,12:09:00,Norwich Riverside,Dine-in,C10516,Returning,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Card,9.0,8.0,No,S002,20,3.9,Rain,Thursday,May
O0100015-4,2025-05-01,12:09:00,Norwich Riverside,Dine-in,C10516,Returning,desserts,Basque Cheesecake,1,7.0,0.0,7.0,1.75,5.25,Contactless,24.0,8.0,Yes,S002,20,4.2,Rain,Thursday,May
O0100016,2026-05-28,17:18:00,Norwich City Centre,Delivery,C14183,Returning,drinks,Soft Drink,1,3.2,0.0,3.2,0.58,2.62,Card,,,No,S006,15,5.0,Rain,Thursday,May
O0100016-2,2025-05-01,17:18:00,Norwich City Centre,Delivery,C14183,Returning,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Contactless,,,No,S006,9,4.6,Rain,Thursday,May
O0100016-3,2026-05-28,17:18:00,Norwich City Centre,Delivery,C14183,Returning,tapas,Croquetas,1,8.5,0.0,8.5,2.38,6.12,Card,,,No,S003,8,4.3,Rain,Thursday,May
O0100017,2026-05-14,20:28:00,Norwich City Centre,Dine-in,C15896,Returning,mains,Vegetable Paella,1,17.5,0.05,16.62,4.73,11.89,Contactless,11.0,2.0,No,S004,33,4.3,Rain,Thursday,May
O0100017-2,2026-05-21,20:28:00,Norwich City Centre,Dine-in,C15896,Returning,drinks,House Sangria,2,8.0,0.0,16.0,3.2,12.8,Online,28.0,4.0,Yes,S005,12,4.7,Rain,Thursday,May
O0100017-3,2025-05-01,20:28:00,Norwich City Centre,Dine-in,C15896,Returning,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Online,15.0,2.0,No,S002,15,3.5,Rain,Thursday,May
O0100018,2026-05-28,20:40:00,Norwich City Centre,Dine-in,C11196,Returning,drinks,Soft Drink,1,3.2,0.0,3.2,0.58,2.62,Card,24.0,4.0,Yes,S005,18,4.3,Rain,Thursday,May
O0100018-2,2025-05-01,20:40:00,Norwich City Centre,Dine-in,C11196,Returning,mains,Vegetable Paella,1,17.5,0.0,17.5,4.73,12.77,Card,13.0,8.0,No,S006,12,5.0,Rain,Thursday,May
O0100018-3,2025-05-29,20:40:00,Norwich City Centre,Dine-in,C11196,Returning,tapas,Garlic Prawns,1,10.5,0.05,9.97,3.47,6.5,Online,12.0,2.0,Yes,S006,15,4.0,Rain,Thursday,May
O0100018-4,2025-05-01,20:40:00,Norwich City Centre,Dine-in,C11196,Returning,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Online,6.0,4.0,No,S003,13,3.7,Rain,Thursday,May
O0100018-5,2026-05-28,20:40:00,Norwich City Centre,Dine-in,C11196,Returning,desserts,Churros,1,6.0,0.05,5.7,1.2,4.5,Online,20.0,2.0,Yes,S002,22,4.6,Rain,Thursday,May
O0100019,2025-05-01,16:22:00,Norwich Riverside,Takeaway,C15047,Loyal,drinks,Spanish Lager,2,5.5,0.0,11.0,2.64,8.36,Online,,,No,S003,9,4.4,Rain,Thursday,May
O0100019-2,2025-05-01,16:22:00,Norwich Riverside,Takeaway,C15047,Loyal,desserts,Churros,1,6.0,0.0,6.0,1.2,4.8,Cash,,,No,S002,13,4.1,Rain,Thursday,May
O0100019-3,2025-05-01,16:22:00,Norwich Riverside,Takeaway,C15047,Loyal,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Contactless,,,No,S004,15,4.0,Rain,Thursday,May
O0100020,2025-05-01,19:59:00,Norwich Riverside,Dine-in,C17613,Loyal,drinks,Sparkling Water,3,2.8,0.0,8.4,1.34,7.06,Online,24.0,4.0,Yes,S001,12,4.5,Rain,Thursday,May
O0100020-2,2025-05-01,19:59:00,Norwich Riverside,Dine-in,C17613,Loyal,mains,Black Rice with Squid,1,21.0,0.05,19.95,6.3,13.65,Cash,30.0,2.0,Yes,S005,10,4.3,Rain,Thursday,May
O0100020-3,2025-05-01,19:59:00,Norwich Riverside,Dine-in,C17613,Loyal,drinks,Coffee,4,3.0,0.0,12.0,1.8,10.2,Online,14.0,4.0,Yes,S003,14,4.1,Rain,Thursday,May
O0100021,2025-05-08,14:49:00,Norwich City Centre,Dine-in,C13689,Returning,drinks,House Sangria,3,8.0,0.05,22.8,4.8,18.0,Card,12.0,2.0,Yes,S005,26,4.1,Rain,Thursday,May
O0100021-2,2025-05-01,14:49:00,Norwich City Centre,Dine-in,C13689,Returning,tapas,Croquetas,1,8.5,0.0,8.5,2.38,6.12,Card,21.0,6.0,No,S005,11,3.4,Rain,Thursday,May
O0100021-3,2025-05-22,14:49:00,Norwich City Centre,Dine-in,C13689,Returning,mains,Black Rice with Squid,1,21.0,0.0,21.0,6.3,14.7,Card,14.0,2.0,No,S003,11,4.7,Rain,Thursday,May
O0100022,2025-05-01,17:59:00,Norwich Riverside,Takeaway,C16381,Returning,tapas,Croquetas,3,8.5,0.0,25.5,7.14,18.36,Online,,,No,S002,5,4.6,Rain,Thursday,May
O0100022-2,2025-05-01,17:59:00,Norwich Riverside,Takeaway,C16381,Returning,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Card,,,No,S002,8,4.7,Rain,Thursday,May
O0100023,2025-05-01,19:27:00,Norwich Riverside,Dine-in,C18873,Returning,mains,Black Rice with Squid,1,21.0,0.1,18.9,6.3,12.6,Contactless,12.0,2.0,No,S002,14,3.3,Rain,Thursday,May
O0100023-2,2025-05-01,19:27:00,Norwich Riverside,Dine-in,C18873,Returning,desserts,Crema Catalana,1,6.5,0.0,6.5,1.43,5.07,Contactless,9.0,2.0,No,S004,20,4.5,Rain,Thursday,May
O0100023-3,2025-05-01,19:27:00,Norwich Riverside,Dine-in,C18873,Returning,tapas,Garlic Prawns,1,10.5,0.15,8.92,3.47,5.45,Contactless,18.0,6.0,No,S005,15,4.2,Rain,Thursday,May
O0100024,2025-05-15,22:46:00,Norwich City Centre,Dine-in,C15126,Returning,drinks,Sparkling Water,1,2.8,0.0,2.8,0.45,2.35,Card,4.0,2.0,Yes,S006,16,4.8,Rain,Thursday,May
O0100025,2025-05-01,20:06:00,Norwich City Centre,Dine-in,C14492,New,tapas,Patatas Bravas,1,7.5,0.0,7.5,1.88,5.62,Cash,13.0,2.0,No,S006,10,3.8,Rain,Thursday,May
O0100025-2,2025-05-01,20:06:00,Norwich City Centre,Dine-in,C14492,New,drinks,Soft Drink,1,3.2,0.0,3.2,0.58,2.62,Card,26.0,2.0,Yes,S002,12,5.0,Rain,Thursday,May
O0100026,2025-05-01,20:55:00,Norwich City Centre,Dine-in,C11913,New,drinks,House Sangria,1,8.0,0.0,8.0,1.6,6.4,Contactless,25.0,2.0,No,S001,24,4.8,Rain,Thursday,May
O0100026-2,2025-05-29,20:55:00,Norwich City Centre,Dine-in,C11913,New,drinks,Soft Drink,3,3.2,0.0,9.6,1.73,7.87,Online,1.0,2.0,No,S004,12,4.4,Rain,Thursday,May
O0100027,2025-05-01,16:04:00,Norwich Riverside,Delivery,C13614,Returning,drinks,House Sangria,1,8.0,0.0,8.0,1.6,6.4,Card,,,No,S004,17,4.6,Rain,Thursday,May
O0100027-2,2025-05-01,16:04:00,Norwich Riverside,Delivery,C13614,Returning,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Contactless,,,No,S001,7,5.0,Rain,Thursday,May
O0100028,2025-05-08,12:35:00,Norwich City Centre,Delivery,C12362,New,mains,Seafood Paella,1,22.0,0.0,22.0,6.82,15.18,Card,,,No,S004,7,4.5,Rain,Thursday,May
O0100028-2,2026-05-28,12:35:00,Norwich City Centre,Delivery,C12362,New,tapas,Garlic Prawns,1,10.5,0.1,9.45,3.47,5.98,Contactless,,,No,S002,14,4.3,Rain,Thursday,May
O0100028-3,2025-05-22,12:35:00,Norwich City Centre,Delivery,C12362,New,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Online,,,No,S002,16,4.5,Rain,Thursday,May
O0100029,2025-05-01,21:01:00,Norwich Riverside,Dine-in,C18389,Returning,tapas,Croquetas,1,8.5,0.0,8.5,2.38,6.12,Card,23.0,4.0,No,S004,16,4.5,Rain,Thursday,May
O0100029-2,2025-05-01,21:01:00,Norwich Riverside,Dine-in,C18389,Returning,drinks,Spanish Lager,1,5.5,0.0,5.5,1.32,4.18,Online,16.0,6.0,Yes,S002,19,4.5,Rain,Thursday,May
O0100029-3,2025-05-01,21:01:00,Norwich Riverside,Dine-in,C18389,Returning,mains,Seafood Paella,1,22.0,0.05,20.9,6.82,14.08,Card,30.0,2.0,Yes,S006,6,4.5,Rain,Thursday,May
O0100030,2026-05-21,18:43:00,Norwich City Centre,Takeaway,C15338,Returning,drinks,Sparkling Water,3,2.8,0.05,7.98,1.34,6.64,Contactless,,,No,S003,12,5.0,Rain,Thursday,May
O0100031,2025-05-01,20:01:00,Norwich Riverside,Dine-in,C19311,Returning,tapas,Garlic Prawns,1,10.5,0.0,10.5,3.47,7.03,Card,1.0,6.0,Yes,S004,23,4.3,Rain,Thursday,May
O0100031-2,2025-05-01,20:01:00,Norwich Riverside,Dine-in,C19311,Returning,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Contactless,5.0,2.0,No,S004,12,3.8,Rain,Thursday,May
O0100032,2025-05-29,17:52:00,Norwich City Centre,Dine-in,C14788,Returning,mains,Vegetable Paella,1,17.5,0.0,17.5,4.73,12.77,Card,3.0,4.0,No,S006,6,4.5,Rain,Thursday,May
O0100032-2,2025-05-22,17:52:00,Norwich City Centre,Dine-in,C14788,Returning,desserts,Crema Catalana,2,6.5,0.15,11.05,2.86,8.19,Card,27.0,8.0,No,S002,11,4.6,Rain,Thursday,May
O0100033,2026-05-14,17:44:00,Norwich City Centre,Takeaway,C16166,Returning,mains,Chicken & Chorizo Paella,1,19.5,0.05,18.52,5.65,12.87,Card,,,No,S001,10,4.1,Rain,Thursday,May
O0100033-2,2026-05-21,17:44:00,Norwich City Centre,Takeaway,C16166,Returning,tapas,Garlic Prawns,2,10.5,0.05,19.95,6.93,13.02,Card,,,No,S003,21,4.1,Rain,Thursday,May
O0100034,2025-05-01,18:10:00,Norwich Riverside,Dine-in,C18463,New,tapas,Patatas Bravas,2,7.5,0.05,14.25,3.75,10.5,Card,8.0,6.0,Yes,S002,21,4.9,Rain,Thursday,May
O0100034-2,2025-05-01,18:10:00,Norwich Riverside,Dine-in,C18463,New,drinks,House Sangria,3,8.0,0.05,22.8,4.8,18.0,Card,10.0,4.0,No,S004,20,4.2,Rain,Thursday,May
O0100035,2026-05-21,12:28:00,Norwich City Centre,Delivery,C18342,New,mains,Black Rice with Squid,1,21.0,0.0,21.0,6.3,14.7,Online,,,No,S001,18,4.7,Rain,Thursday,May
O0100035-2,2026-05-21,12:28:00,Norwich City Centre,Delivery,C18342,New,tapas,Croquetas,1,8.5,0.0,8.5,2.38,6.12,Online,,,No,S001,12,4.6,Rain,Thursday,May
O0100035-3,2026-05-28,12:28:00,Norwich City Centre,Delivery,C18342,New,desserts,Basque Cheesecake,1,7.0,0.0,7.0,1.75,5.25,Card,,,No,S006,16,3.9,Rain,Thursday,May
O0100036,2025-05-01,21:20:00,Norwich Riverside,Dine-in,C16372,New,tapas,Garlic Prawns,1,10.5,0.0,10.5,3.47,7.03,Card,17.0,2.0,Yes,S006,23,4.3,Rain,Thursday,May
O0100036-2,2025-05-01,21:20:00,Norwich Riverside,Dine-in,C16372,New,desserts,Churros,2,6.0,0.0,12.0,2.4,9.6,Cash,12.0,4.0,Yes,S004,15,3.8,Rain,Thursday,May
O0100036-3,2025-05-01,21:20:00,Norwich Riverside,Dine-in,C16372,New,mains,Black Rice with Squid,1,21.0,0.0,21.0,6.3,14.7,Contactless,3.0,6.0,Yes,S005,9,4.6,Rain,Thursday,May
O0100036-4,2025-05-01,21:20:00,Norwich Riverside,Dine-in,C16372,New,drinks,Soft Drink,2,3.2,0.0,6.4,1.15,5.25,Contactless,16.0,6.0,Yes,S001,25,4.2,Rain,Thursday,May
O0100037,2026-05-07,19:19:00,Norwich City Centre,Delivery,C14192,Returning,tapas,Croquetas,1,8.5,0.0,8.5,2.38,6.12,Contactless,,,No,S003,17,4.2,Rain,Thursday,May
O0100037-2,2026-05-28,19:19:00,Norwich City Centre,Delivery,C14192,Returning,mains,Black Rice with Squid,1,21.0,0.0,21.0,6.3,14.7,Card,,,No,S002,11,3.7,Rain,Thursday,May
O0100038,2025-05-01,18:45:00,Norwich Riverside,Dine-in,C11386,New,drinks,Sparkling Water,2,2.8,0.0,5.6,0.9,4.7,Card,7.0,6.0,No,S005,18,4.3,Rain,Thursday,May
O0100038-2,2025-05-01,18:45:00,Norwich Riverside,Dine-in,C11386,New,tapas,Garlic Prawns,2,10.5,0.0,21.0,6.93,14.07,Online,17.0,6.0,No,S003,14,4.7,Rain,Thursday,May
O0100038-3,2025-05-01,18:45:00,Norwich Riverside,Dine-in,C11386,New,mains,Black Rice with Squid,1,21.0,0.0,21.0,6.3,14.7,Online,17.0,4.0,Yes,S002,12,4.2,Rain,Thursday,May
O0100039,2025-05-01,21:59:00,Norwich Riverside,Takeaway,C17645,Returning,tapas,Spanish Omelette,1,7.0,0.0,7.0,1.68,5.32,Card,,,No,S002,14,4.6,Rain,Thursday,May
O0100039-2,2025-05-01,21:59:00,Norwich Riverside,Takeaway,C17645,Returning,mains,Vegetable Paella,1,17.5,0.1,15.75,4.73,11.02,Card,,,No,S005,10,4.4,Rain,Thursday,May
O0100039-3,2025-05-01,21:59:00,Norwich Riverside,Takeaway,C17645,Returning,drinks,House Sangria,1,8.0,0.05,7.6,1.6,6.0,Online,,,No,S006,8,4.4,Rain,Thursday,May
O0100040,2025-05-08,19:24:00,Norwich City Centre,Dine-in,C16196,Loyal,mains,Black Rice with Squid,1,21.0,0.05,19.95,6.3,13.65,Online,5.0,2.0,No,S004,15,3.8,Rain,Thursday,May
O0100040-2,2026-05-07,19:24:00,Norwich City Centre,Dine-in,C16196,Loyal,tapas,Patatas Bravas,1,7.5,0.0,7.5,1.88,5.62,Contactless,9.0,4.0,No,S005,25,4.9,Rain,Thursday,May
O0100040-3,2026-05-14,19:24:00,Norwich City Centre,Dine-in,C16196,Loyal,drinks,Spanish Lager,1,5.5,0.0,5.5,1.32,4.18,Online,10.0,2.0,No,S006,11,4.7,Rain,Thursday,May
O0100040-4,2025-05-01,19:24:00,Norwich City Centre,Dine-in,C16196,Loyal,tapas,Garlic Prawns,1,10.5,0.05,9.97,3.47,6.5,Card,22.0,4.0,No,S005,18,4.4,Rain,Thursday,May
O0100040-5,2026-05-28,19:24:00,Norwich City Centre,Dine-in,C16196,Loyal,mains,Chicken & Chorizo Paella,1,19.5,0.0,19.5,5.65,13.85,Card,17.0,2.0,Yes,S003,13,4.3,Rain,Thursday,May
O0100041,2025-05-01,17:39:00,Norwich Riverside,Dine-in,C10651,Returning,drinks,Coffee,1,3.0,0.0,3.0,0.45,2.55,Cash,17.0,2.0,No,S005,17,4.4,Rain,Thursday,May
O0100041-2,2025-05-01,17:39:00,Norwich Riverside,Dine-in,C10651,Returning,tapas,Croquetas,1,8.5,0.05,8.07,2.38,5.69,Online,7.0,2.0,Yes,S001,15,4.8,Rain,Thursday,May
O0100041-3,2025-05-01,17:39:00,Norwich Riverside,Dine-in,C10651,Returning,drinks,Spanish Lager,1,5.5,0.0,5.5,1.32,4.18,Card,6.0,2.0,No,S003,26,3.2,Rain,Thursday,May
O0100042,2025-05-01,18:15:00,Norwich City Centre,Dine-in,C17346,Returning,drinks,Spanish Lager,1,5.5,0.0,5.5,1.32,4.18,Contactless,22.0,4.0,No,S001,17,3.9,Rain,Thursday,May
O0100042-2,2025-05-15,18:15:00,Norwich City Centre,Dine-in,C17346,Returning,tapas,Garlic Prawns,1,10.5,0.0,10.5,3.47,7.03,Card,4.0,2.0,No,S004,13,4.7,Rain,Thursday,May
O0100042-3,2025-05-08,18:15:00,Norwich City Centre,Dine-in,C17346,Returning,mains,Vegetable Paella,1,17.5,0.0,17.5,4.73,12.77,Online,27.0,2.0,No,S003,27,4.7,Rain,Thursday,May
O0100043,2026-05-28,17:03:00,Norwich City Centre,Dine-in,C13011,New,mains,Vegetable Paella,1,17.5,0.0,17.5,4.73,12.77,Card,16.0,2.0,No,S002,13,4.1,Rain,Thursday,May
O0100044,2025-05-08,20:25:00,Norwich City Centre,Dine-in,C12053,Loyal,mains,Black Rice with Squid,1,21.0,0.0,21.0,6.3,14.7,Contactless,4.0,4.0,Yes,S005,25,4.2,Rain,Thursday,May
O0100044-2,2025-05-29,20:25:00,Norwich City Centre,Dine-in,C12053,Loyal,drinks,Soft Drink,1,3.2,0.0,3.2,0.58,2.62,Online,2.0,6.0,No,S002,21,4.1,Rain,Thursday,May
O0100044-3,2026-05-07,20:25:00,Norwich City Centre,Dine-in,C12053,Loyal,tapas,Spanish Omelette,3,7.0,0.0,21.0,5.04,15.96,Card,15.0,2.0,No,S006,18,4.6,Rain,Thursday,May
O0100044-4,2025-05-29,20:25:00,Norwich City Centre,Dine-in,C12053,Loyal,drinks,House Sangria,2,8.0,0.0,16.0,3.2,12.8,Card,21.0,2.0,No,S003,15,3.6,Rain,Thursday,May
O0100045,2026-05-28,20:23:00,Norwich City Centre,Dine-in,C14617,Returning,mains,Black Rice with Squid,1,21.0,0.0,21.0,6.3,14.7,Card,11.0,2.0,Yes,S005,23,4.3,Rain,Thursday,May
O0100045-2,2025-05-08,20:23:00,Norwich City Centre,Dine-in,C14617,Returning,desserts,Churros,1,6.0,0.05,5.7,1.2,4.5,Card,30.0,4.0,No,S006,27,4.9,Rain,Thursday,May
O0100045-3,2026-05-28,20:23:00,Norwich City Centre,Dine-in,C14617,Returning,drinks,Coffee,1,3.0,0.0,3.0,0.45,2.55,Online,18.0,4.0,No,S002,16,4.9,Rain,Thursday,May
O0100046,2026-05-21,21:29:00,Norwich City Centre,Dine-in,C19361,Loyal,tapas,Croquetas,1,8.5,0.0,8.5,2.38,6.12,Online,14.0,4.0,No,S005,23,3.6,Rain,Thursday,May
O0100046-2,2026-05-21,21:29:00,Norwich City Centre,Dine-in,C19361,Loyal,mains,Black Rice with Squid,1,21.0,0.1,18.9,6.3,12.6,Contactless,18.0,2.0,Yes,S004,21,4.6,Rain,Thursday,May
O0100047,2025-05-01,19:58:00,Norwich Riverside,Dine-in,C11277,New,drinks,Soft Drink,1,3.2,0.0,3.2,0.58,2.62,Card,22.0,2.0,No,S006,9,5.0,Rain,Thursday,May
